[0509/162911.296:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6414051ee600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/163019.922:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e1403a44a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163019.946:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e1403a44a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163019.959:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e1403a44a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163019.988:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6e1403a44a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/163112.175:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf3405247600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163112.202:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf3405247600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163112.219:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf3405247600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163112.245:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf3405247600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/163137.422:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x633c05339a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163137.449:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x633c05339a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163137.468:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x633c05339a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163137.490:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x633c05339a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/163208.195:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x67140515f600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163208.225:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x67140515f600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163208.253:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x67140515f600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163208.283:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x67140515f600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/163224.726:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6a8c02e57c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163224.775:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6a8c02e57c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163224.808:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6a8c02e57c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/163224.834:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6a8c02e57c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/164232.474:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x680c05388800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164232.502:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x680c05388800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164232.511:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x680c05388800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164232.539:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x680c05388800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/164325.811:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x42dc05cabc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164325.967:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x42dc05cabc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164325.979:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x42dc05cabc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164326.002:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x42dc05cabc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/164927.022:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x76b404f65e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164927.034:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x76b404f65e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164927.057:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x76b404f65e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/164927.083:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x76b404f65e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/165223.367:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xd4c03adde00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/165223.392:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xd4c03adde00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/165223.410:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xd4c03adde00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
